sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,loss
1,1,1,1,1,1,1,1,0,0,0.0015398217980336706
1,1,1,1,1,1,0,1,0,1,0.0016778011437084406
1,1,1,0,1,1,1,1,1,0,0.0017601475774844597
1,1,1,1,1,1,0,1,1,0,0.001765745541662228
1,1,1,0,1,1,0,1,1,1,0.001985372654258341
1,1,1,1,1,1,1,0,0,1,0.0020548535535216267
1,1,1,1,1,0,1,1,0,1,0.002435848965658474
1,1,1,0,1,1,1,0,1,1,0.00250346424525498
1,1,1,1,1,1,0,0,1,1,0.002546620203478886
1,1,1,1,1,0,1,1,1,0,0.0026497372865337404
1,1,1,0,1,0,1,1,1,1,0.0029536068592256742
1,1,0,1,1,1,1,1,1,0,0.0032651620626507755
1,1,0,1,1,1,0,1,1,1,0.00366501203661522
1,1,1,1,1,0,1,0,1,1,0.0037941578553740835
1,1,1,1,0,1,1,1,0,1,0.0038230485881753304
1,1,1,1,0,1,1,1,1,0,0.004202490703963405
1,1,0,1,1,1,1,0,1,1,0.004505819264983862
1,1,1,0,0,1,1,1,1,1,0.004555035185557443
1,1,0,1,1,0,1,1,1,1,0.005090528550511383
1,1,1,1,0,1,1,0,1,1,0.005717910571459012
1,0,0,1,1,1,1,1,1,1,0.006341391499401841
1,0,1,1,1,1,1,0,1,1,0.006711921514526292
1,0,1,0,1,1,1,1,1,1,0.006999272645377051
1,1,0,1,0,1,1,1,1,1,0.007158280174175108
1,0,1,1,1,1,1,1,0,1,0.007797978571586386
1,0,1,1,1,1,1,1,1,0,0.007823249400800245
1,1,1,1,1,1,1,0,1,0,inf
1,1,1,1,1,0,0,1,1,1,inf
1,1,1,1,0,1,0,1,1,1,inf
1,1,1,1,0,0,1,1,1,1,inf
1,1,1,0,1,1,1,1,0,1,inf
1,1,0,1,1,1,1,1,0,1,inf
1,1,0,0,1,1,1,1,1,1,inf
1,0,1,1,1,1,0,1,1,1,inf
1,0,1,1,1,0,1,1,1,1,inf
1,0,1,1,0,1,1,1,1,1,inf
0,1,1,1,1,1,1,1,1,0,inf
0,1,1,1,1,1,1,1,0,1,inf
0,1,1,1,1,1,1,0,1,1,inf
0,1,1,1,1,1,0,1,1,1,inf
0,1,1,1,1,0,1,1,1,1,inf
0,1,1,1,0,1,1,1,1,1,inf
0,1,1,0,1,1,1,1,1,1,inf
0,1,0,1,1,1,1,1,1,1,inf
0,0,1,1,1,1,1,1,1,1,inf
